Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
1; 0,000E0; 7,980E1; 1,788E2; ;
2; 3,333E-2; 1,012E2; 1,818E2; 6,417E2; 9,131E1
3; 6,667E-2; 1,267E2; 1,828E2; 7,650E2; 2,868E1
4; 1,000E-1; 1,486E2; 1,844E2; 6,579E2; 4,835E1
5; 1,333E-1; 1,696E2; 1,872E2; 6,285E2; 8,521E1
6; 1,667E-1; 1,944E2; 1,868E2; 7,442E2; -1,343E1
7; 2,000E-1; 2,160E2; 1,853E2; 6,477E2; -4,493E1
8; 2,333E-1; 2,398E2; 1,818E2; 7,140E2; -1,033E2
9; 2,667E-1; 2,642E2; 1,792E2; 7,343E2; -7,882E1
10; 3,000E-1; 2,853E2; 1,743E2; 6,318E2; -1,481E2
11; 3,333E-1; 3,061E2; 1,681E2; 6,244E2; -1,853E2
